Attribute,ActiveIngredients,AgeRangeDescription,Color,FinishType,Flavor,HairType,ItemForm,Material,ProductBenefit,Scent,SkinTone,SkinType,SpecialIngredients,TargetGender,Variety
asin_entity_precision,0.8928571428571429,0.9680365296803652,0.8294573643410853,0.9834087481146304,0.6490701859628074,0.9103448275862069,0.9680851063829787,0.8717948717948718,0.75,0.6868512110726643,0.6,0.9491916859122402,1.0,0.9420289855072463,0.9653846153846154
asin_entity_recall,0.1037344398340249,0.3833634719710669,0.26485148514851486,0.6293436293436293,0.49383842994066635,0.5919282511210763,0.5007861635220126,0.03981264637002342,0.030848329048843187,0.3946322067594433,0.04918032786885246,0.42153846153846153,0.19333333333333333,0.7471264367816092,0.6783783783783783
asin_entity_f1,0.1858736059479554,0.5492227979274611,0.4015009380863039,0.7675103001765744,0.5609123898392949,0.7173913043478262,0.6601036269430052,0.0761478163493841,0.05925925925925926,0.5012626262626263,0.09090909090909091,0.5838068181818181,0.3240223463687151,0.8333333333333334,0.7968253968253968
fact_entity_precision,0.896551724137931,0.9427312775330396,0.8,0.9559834938101788,0.6086009798584648,0.9066666666666666,0.9550224887556222,0.85,0.7058823529411765,0.6606334841628959,0.6,0.9503386004514672,1.0,0.9420289855072463,0.9266666666666666
fact_entity_recall,0.06403940886699508,0.33647798742138363,0.21739130434782608,0.5507131537242472,0.4020136641495865,0.2924731182795699,0.49,0.02641802641802642,0.016877637130801686,0.3067226890756303,0.0379746835443038,0.3095588235294118,0.1220472440944882,0.7471264367816092,0.6361556064073226
fact_entity_f1,0.11954022988505747,0.4959443800695249,0.34188034188034183,0.6988436400201106,0.48419229103508016,0.44227642276422763,0.6476868327402135,0.05124340617935193,0.03296703296703297,0.41893830703012913,0.07142857142857144,0.4669994453688298,0.21754385964912282,0.8333333333333334,0.7544097693351424
asin_token_precision,0.9642857142857143,0.9863013698630136,0.9457364341085271,0.9879336349924586,0.8650269946010798,0.9517241379310345,0.9680851063829787,0.9743589743589743,0.8125,0.9498269896193772,0.8,0.9861431870669746,1.0,0.9420289855072463,0.9653846153846154
asin_token_recall,0.11203319502074689,0.39059674502712477,0.30198019801980197,0.6322393822393823,0.65814696485623,0.6188340807174888,0.5007861635220126,0.04449648711943794,0.033419023136246784,0.5457256461232605,0.06557377049180328,0.4379487179487179,0.19333333333333333,0.7471264367816092,0.6783783783783783
asin_token_f1,0.20074349442379183,0.5595854922279793,0.45778611632270166,0.7710417892878165,0.7475375842405391,0.75,0.6601036269430052,0.08510638297872342,0.06419753086419752,0.6931818181818182,0.12121212121212123,0.6065340909090909,0.3240223463687151,0.8333333333333334,0.7968253968253968
fact_token_precision,0.9310344827586207,0.9559471365638766,0.8822222222222222,0.9573590096286108,0.826619488296135,0.9199999999999998,0.9557721139430285,0.9375,0.7352941176470589,0.9223227752639518,0.6666666666666666,0.9864559819413092,1.0,0.9420289855072463,0.9266666666666666
fact_token_recall,0.06773399014778325,0.34591194968553457,0.24667874396135264,0.5530903328050714,0.4794866526258115,0.3053763440860215,0.49,0.02836052836052836,0.01828410689170183,0.3747899159663863,0.05063291139240506,0.31348039215686263,0.1220472440944882,0.7471264367816092,0.6361556064073226
fact_token_f1,0.12628087928908543,0.5080020430748275,0.3855528096645852,0.7011238290140409,0.6069231267201601,0.4585468585468585,0.6478591353582279,0.055055558348836034,0.03568095734753252,0.5329949784196139,0.09411764705882351,0.4757688364232065,0.21754385964912282,0.8333333333333334,0.7544097693351424
